Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2019/2020,08/03/2020,03:06,Atlas,Guadalajara Chivas,1,2,A,3.34,3.08,2.41,3.5,3.11,2.45,3.2,2.99,2.34
Mexico,Liga MX,2019/2020,08/03/2020,23:00,Necaxa,Monarcas,1,2,A,2.37,3.41,3.07,2.45,3.58,3.44,2.3,3.3,2.97
Mexico,Liga MX,2019/2020,09/03/2020,01:00,Juarez,Club Leon,1,4,A,2.48,3.33,2.97,2.73,3.45,2.97,2.44,3.26,2.79
Mexico,Liga MX,2019/2020,14/03/2020,03:00,Monarcas,Queretaro,4,0,H,2.3,3.47,3.17,2.3,3.47,3.37,2.22,3.32,3.13
Mexico,Liga MX,2019/2020,14/03/2020,03:10,Club Tijuana,Pachuca,3,2,H,2.27,3.57,3.13,2.31,3.57,3.32,2.22,3.36,3.08
Mexico,Liga MX,2019/2020,14/03/2020,23:00,Atl. San Luis,Puebla,0,1,A,1.78,3.75,4.77,1.9,3.75,5.2,1.76,3.53,4.63
Mexico,Liga MX,2019/2020,15/03/2020,01:00,Club Leon,U.N.A.M.- Pumas,3,1,H,2.04,3.53,3.76,2.08,3.78,3.8,1.99,3.56,3.5
Mexico,Liga MX,2019/2020,15/03/2020,01:00,U.A.N.L.- Tigres,Juarez,3,2,H,1.59,3.92,6.36,1.65,4.06,6.5,1.57,3.85,5.82
Mexico,Liga MX,2019/2020,15/03/2020,03:00,Guadalajara Chivas,Monterrey,1,1,D,2.82,3.21,2.67,2.9,3.28,2.78,2.74,3.14,2.58
Mexico,Liga MX,2019/2020,15/03/2020,18:00,Toluca,Atlas,2,3,A,1.99,3.41,4.12,2.05,3.55,4.2,1.96,3.34,3.85
Mexico,Liga MX,2019/2020,16/03/2020,00:00,Santos Laguna,Necaxa,2,1,H,1.7,4.09,4.8,1.77,4.13,5.5,1.68,3.9,4.6
Mexico,Liga MX,2019/2020,16/03/2020,02:15,Club America,Cruz Azul,0,1,A,2.75,3.57,2.52,3,3.57,2.7,2.68,3.37,2.49
